,acc_phone_x,acc_phone_y,acc_phone_z,bar_phone_x,gyr_phone_x,gyr_phone_y,gyr_phone_z,linacc_phone_x,linacc_phone_y,linacc_phone_z,loc_phone_latitude,loc_phone_longitude,loc_phone_h,loc_phone_vel,loc_phone_dir,loc_phone_hor_acc,loc_phone_ver_acc,mag_phone_x,mag_phone_y,mag_phone_z,dist_phone_dis,labelswitch,labelsquad,labellunge,labeljumpingjack,labellegraise,labelcrunch,labelpushup
2016-02-08 18:28:30.958190336,-2.0812719726220004,-8.413538955800004,-3.38169273385,,-2.5985010148,-2.5884448194200003,1.7508945345,0.14978217379000014,1.05186000903,0.4902599864300001,,,,,,,,21.536192321999998,48.454692077,-1.619324493392,,0,1,0,0,0,0,0
2016-02-08 18:28:31.058190336,-5.4510345154,-8.399019149999999,-3.36452343758,,-1.7138615251,0.30333937481,1.1222528814,-0.9407908613899998,-0.443003535048,-0.5426375461099999,,,,,,,,29.181914139,43.445911409,4.474696397780001,,0,1,0,0,0,0,0
2016-02-08 18:28:31.158190336,-1.67573529064,-7.557020095699999,-4.7489495087,,-1.5883146644,0.183048047131,0.513240216679,2.86878354294,-0.9115777626799999,0.4875442031810001,,,,,,,,32.88862762499999,39.038092805,11.6140923502,,0,1,0,0,0,0,0
2016-02-08 18:28:31.258190336,-5.266632980400001,-5.4374128418,-7.143070907600001,,-1.3299832105299998,-0.038395208866,0.7009762644799999,-0.3702839651500001,0.29027437913000004,-0.7710281232099997,,,,,,,,35.453644563000005,34.193912888,17.068166826,,0,1,0,0,0,0,0
2016-02-08 18:28:31.358190336,-4.5403882142,-4.0475680389000015,-7.356946151600001,1015.649033,-1.08610674154,-0.285638113322,0.8661034047699999,1.213014417903,0.5142674990909999,-0.4379810691089999,,,,,,,,38.2434906,28.252026749000002,20.968471909,,0,1,0,0,0,0,0
2016-02-08 18:28:31.458190336,-5.4810770415,-4.9340396119,-8.011849273800001,,-0.7611240625300001,0.145931492011,0.6422187536399999,0.445513043053,-1.5272511837939995,-0.98742386801,,,,,,,,40.736222076,22.558692171,22.445224380000006,,0,1,0,0,0,0,0
2016-02-08 18:28:31.558190336,-6.4241010133000005,-3.016018158,-8.373212814299999,,-0.28671144395,-0.07463297955510001,0.22821351735999995,-0.4775002947500001,0.071437889462,-1.0654948389280001,52.366091600000004,4.87954147,2.393500297,0.1498772949,288.25355319999994,16.50470342,16.50470342,41.599879074,18.743130873,23.999770737,,0,1,0,0,0,0,0
2016-02-08 18:28:31.658190336,-6.844741287200001,-3.0914163667000003,-8.272068145599999,,0.10469274655410002,-0.058114299186999986,0.06603778775159999,-0.7825514648799999,-0.259129214193,-0.9816888603399999,,,,,,,,42.077682875,17.239694215000004,23.923108291,,0,1,0,0,0,0,0
2016-02-08 18:28:31.758190336,-6.318345932100001,-2.6296865387,-8.6836971589,,0.56652592421,0.15102867223400002,-0.4225333929,-0.52000575184,0.55086393544,-1.6182239484,,,,,,,,41.91023559599999,18.026934050999998,23.29830017,,0,1,0,0,0,0,0
2016-02-08 18:28:31.858190336,-5.1808763122000006,-2.6933491517,-8.357809845,,1.0825088502099998,0.008493020384000004,-0.55062164663,0.21585324029199998,1.539509433,-1.5867575082999998,,,,,,,,40.693878173,21.51825676,22.655059814,,0,1,0,0,0,0,0
2016-02-08 18:28:31.958190336,-5.0725765227999995,-4.0317609098,-7.751316055399999,,1.3676521896000002,0.13338253218499999,-0.66713451744,0.2255336566137,1.4026121981000002,-1.5209129485,,,,,,,,39.191400145,26.420756911999998,19.817852022000004,,0,1,0,0,0,0,0
2016-02-08 18:28:32.058190336,-3.4116005402000007,-5.5983880922,-5.6461387939,,1.7673786522,0.18962967172000006,-0.5991382569200001,1.24822374875,1.25203253716,-0.5548610628319001,,,,,,,,36.558456801000005,32.247710039000005,16.3619339,,0,1,0,0,0,0,0
2016-02-08 18:28:32.158190336,-3.5497332916000004,-7.8074343567,-2.9274024356000004,,2.0541058421000002,0.239883388575,-0.27034554035,0.96392583794,0.15938621091699998,0.9230099755700001,,,,,,,,34.17544403,37.137622834000005,11.5104869846,,0,1,0,0,0,0,0
2016-02-08 18:28:32.258190336,-3.1401550140000003,-10.75875705,-1.649045791695,1015.594177,2.8296278954000003,0.232513090597,-2.1639025748200003,-0.034679514442999985,-2.04305579905,0.4142052743690001,,,,,,,,30.928025435,41.512496949,4.182112217030001,,0,1,0,0,0,0,0
2016-02-08 18:28:32.358190336,-0.6902146912199998,-7.955880661,0.491712478616,,1.0843502522600001,-0.9217577397700001,-1.2252272367,0.7951483116399999,1.6642284965399998,0.9094222012699996,,,,,,,,22.022378159000002,47.586192323,-6.160535240300001,,0,1,0,0,0,0,0
2016-02-08 18:28:32.458190336,-1.7190402374200002,-10.0895586541,0.9044791259200001,,0.4531444430300001,0.8585013471420001,-0.5602207824600001,-0.39384281352,0.19548680343,-0.10913267783099996,,,,,,,,16.237295437,49.400768278,-11.495683670999998,,0,1,0,0,0,0,0
2016-02-08 18:28:32.558190336,-1.874447067299,-9.3189311827,1.19498002633,,-0.31383996607000003,-0.5701310814199999,0.061785032781999996,-1.874892113337,0.18679713923899996,1.22909793014,52.36610036,4.879522613,2.389669104,0.1688156426,29.80302212,14.95145705,14.95145705,14.866831969999998,49.882942199,-12.000068665999999,,0,1,0,0,0,0,0
2016-02-08 18:28:32.658190336,0.34208363342200004,-9.951186400800001,0.7038663024899999,,-0.18845402672699998,-0.103921230886,0.068644852936,1.03686737549,0.032325571599999985,0.5283409614100001,,,,,,,,14.695155144999998,50.22837677,-11.159474373,,0,1,0,0,0,0,0
2016-02-08 18:28:32.758190336,-1.21235888667,-9.7098881839,0.9773475952200001,,-0.45788681209,0.39054182768,0.146636619791,-0.19320483980099998,-0.210860361267,1.03261290485,,,,,,,,15.196704101,50.241801454,-9.9558143617,,0,1,0,0,0,0,0
